Unique ID = 	Higgins00010064Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Banana Republic - Shops at Merrick Park	Business Website = 	https://bananarepublic.gap.com/?tid=brps016054&kwid=1&ap=7&gad_source=1&gclid=CjwKCAiA8sauBhB3EiwAruTRJtyxnCgbb3wABbAjLYfeUp4gLzV0JXLbbD86OsTyWyodcZZisNg_qRoCrmkQAvD_BwE&gclsrc=aw.ds	Business Type = 	Retail - Clothes	Offering = 	"Modern Style, Timeless Quality"								
Unique ID = 	Higgins00010065Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Boss - Shops at Merrick Park	Business Website = 	https://www.hugoboss.com/us/boss-store-342-avenue-san-lorenzo-suite-1060-coral-gables-fl/	Business Type = 	Retail - Clothes	Offering = 	Retailer offering fashionable attire & fragrances for men & women from the designer brand.								
Unique ID = 	Higgins00010066Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	CH Carolina Herrera - Shops at Merrick Park	Business Website = 	https://chcarolinaherrera.com/us/en	Business Type = 	Retail - Clothes	Offering = 	"CH Carolina Herrera offers casual elegance for everyday with iconic accessories and ready-to-wear for women, men and children."								
Unique ID = 	Higgins00010067Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	J.Crew - Shops at Merrick Park	Business Website = 	https://www.jcrew.com/?srcCode=Paid_Search%7CSearch_Brand%7CGoogle%7CPMG%5EG%5EJCrew_BR_US_EN_All_Core_X_Google+_X%5EJ+Crew&utm_source=Google&utm_medium=paid_search&utm_campaign=JCrew_BR_US_EN_All_Core_X_Google+_X&utm_term=J+Crew&utm_content=Search_Brand&NoPopUp=True&gad_source=1&gclid=CjwKCAiA8sauBhB3EiwAruTRJi4A6c6mQOunybiwXOba1k6RJ4ocVQ1xQDXT2RmEDjUghllekysMbxoCJ4YQAvD_BwE&gclsrc=aw.ds	Business Type = 	Retail - Clothes	Offering = 	"American multi-brand, multi-channel, specialty retailer. The company offers an assortment of women's, men's, and children's clothing."								
Unique ID = 	Higgins00010068Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	LuluLemon - Shops at Merrick Park	Business Website = 	https://shop.lululemon.com	Business Type = 	"Retail - Clothes
Retail - Shoe"	Offering = 	"Activewear, loungewear and footwear for all the ways you love to move."								
Unique ID = 	Higgins00010069Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Madewell - Shops at Merrick Park	Business Website = 	https://www.madewell.com/?&srcCode=Paid_Search%7CSearch_Brand%7CGoogle%7CPMG%5EG%5EMW_BR_US_EN_X_Core_Exact_X%5E&utm_source=google&utm_medium=cpc&utm_content=brand_search&utm_campaign=MW_BR_US_EN_X_Core_Exact_X&utm_term=&NoPopUp=True&gad_source=1&gclid=CjwKCAiAlcyuBhBnEiwAOGZ2S8WLRpAhop1OIJ0VEyX8u-zPLYfWdF9Mk8DBiHOz-95rOsyvwhpl7BoCQKQQAvD_BwE&gclsrc=aw.ds	Business Type = 	Retail - Clothes	Offering = 	"At Madewell, good days start with great jeans. Shop our entire collection of denim, clothing, shoes, bags and accessories for Women and Men."								
Unique ID = 	Higgins00010070Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Purificacion Garcia - Shops at Merrick Park	Business Website = 	https://purificaciongarcia.com/00/en	Business Type = 	"Retail - Clothes
Retail - Shoe"	Offering = 	"The Spanish designer provides the fashion scene with young and timeless designs, hence serenading them with a chorus of voguish novelties."								
Unique ID = 	Higgins00010071Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Tommy Bahama - Shops at Merrick Park	Business Website = 	https://www.tommybahama.com/?utm_medium=paid_search&utm_source=google&utm_campaign=TB_TEXT_GG_BR_X_US_EN_X_CORE_EXACT_146071804_6524822764_kwd-14917280&utm_term=tommy%20bahama&utm_content=omnichannel&gad_source=1&gclid=CjwKCAiAlcyuBhBnEiwAOGZ2S4T4dp0tet0IY4SVapP85OKfdmDbw_9vtB-WnNsST5h5SG2ZZFySChoCJOAQAvD_BwE	Business Type = 	Retail - Clothes	Offering = 	Signature Styles To Live Your Best Island Life								
Unique ID = 	Higgins00010072Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Untuckit- Shops at Merrick Park	Business Website = 	https://www.untuckit.com	Business Type = 	Retail - Clothes	Offering = 	Shirts to be worn untuck								
Unique ID = 	Higgins00010073Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Vince - Shops at Merrick Park	Business Website = 	https://www.vince.com	Business Type = 	"Retail - Clothes
Retail - Shoe"	Offering = 	"Understated luxury from California. Shop new arrivals featuring cashmere, knitwear, leather & shoes for women and men."								
